date,component_id,component_demand,current_inventory,supplier_lead_time_days,supplier_disruption,planned_production_units,scheduled_receipts,plant_maintenance,festival
2025-01-01,BRAKE_PAD_FRONT,392.0,4808.0,12,0,903,0,0,0
2025-01-02,BRAKE_PAD_FRONT,440.0,4368.0,12,0,1017,0,0,0
2025-01-03,BRAKE_PAD_FRONT,462.0,3906.0,12,0,1076,0,0,0
2025-01-04,BRAKE_PAD_FRONT,439.0,3467.0,12,0,1024,0,0,0
2025-01-05,BRAKE_PAD_FRONT,496.0,2971.0,12,0,1070,0,0,0
2025-01-06,BRAKE_PAD_FRONT,461.0,2510.0,12,0,1119,0,0,0
2025-01-07,BRAKE_PAD_FRONT,482.0,2028.0,12,0,1147,0,0,0
2025-01-08,BRAKE_PAD_FRONT,446.0,5040.0,12,0,1151,3458,0,0
2025-01-09,BRAKE_PAD_FRONT,472.0,4568.0,12,0,1135,0,0,0
2025-01-10,BRAKE_PAD_FRONT,385.0,4183.0,12,0,1134,0,1,0
2025-01-11,BRAKE_PAD_FRONT,350.0,3833.0,12,0,1039,0,1,0
2025-01-12,BRAKE_PAD_FRONT,389.0,3444.0,12,0,1117,0,1,0
2025-01-13,BRAKE_PAD_FRONT,437.0,3007.0,12,0,1066,0,0,0
2025-01-14,BRAKE_PAD_FRONT,446.0,2561.0,17,1,1008,0,0,0
2025-01-15,BRAKE_PAD_FRONT,433.0,2128.0,12,0,1038,0,0,0
2025-01-16,BRAKE_PAD_FRONT,368.0,5040.0,12,0,897,3280,0,0
2025-01-17,BRAKE_PAD_FRONT,379.0,4661.0,12,0,922,0,0,0
2025-01-18,BRAKE_PAD_FRONT,396.0,4265.0,12,0,989,0,0,0
2025-01-19,BRAKE_PAD_FRONT,389.0,3876.0,12,0,886,0,0,0
2025-01-20,BRAKE_PAD_FRONT,388.0,3488.0,12,0,896,0,0,0
2025-01-21,BRAKE_PAD_FRONT,353.0,3135.0,12,0,840,0,0,0
2025-01-22,BRAKE_PAD_FRONT,368.0,2767.0,12,0,815,0,0,0
2025-01-23,BRAKE_PAD_FRONT,335.0,2432.0,12,0,830,0,0,0
2025-01-24,BRAKE_PAD_FRONT,323.0,2109.0,12,0,813,0,0,0
2025-01-25,BRAKE_PAD_FRONT,359.0,5040.0,12,0,898,3290,0,0
2025-01-26,BRAKE_PAD_FRONT,371.0,4669.0,12,0,867,0,0,0
2025-01-27,BRAKE_PAD_FRONT,424.0,4245.0,12,0,983,0,0,0
2025-01-28,BRAKE_PAD_FRONT,380.0,3865.0,12,0,913,0,0,0
2025-01-29,BRAKE_PAD_FRONT,370.0,3495.0,12,0,896,0,0,0
2025-01-30,BRAKE_PAD_FRONT,390.0,3105.0,12,0,924,0,0,0
