date,content_id,watch_hours,release_active,marketing_campaign,festival,holiday,competitor_major_release
2025-01-01,CONTENT_001,7000.51,1,1,0,1,0
2025-01-02,CONTENT_001,6292.99,1,1,0,0,0
2025-01-03,CONTENT_001,6444.18,1,1,0,0,0
2025-01-04,CONTENT_001,7660.45,1,1,0,0,0
2025-01-05,CONTENT_001,7721.27,1,1,0,0,0
2025-01-06,CONTENT_001,6524.28,1,1,0,0,0
2025-01-07,CONTENT_001,6365.05,1,1,0,0,0
2025-01-08,CONTENT_001,5352.67,1,0,0,0,0
2025-01-09,CONTENT_001,5889.87,1,0,0,0,0
2025-01-10,CONTENT_001,4797.14,1,0,0,0,1
2025-01-11,CONTENT_001,5527.26,1,0,0,0,1
2025-01-12,CONTENT_001,5454.39,1,0,0,0,1
2025-01-13,CONTENT_001,5385.83,1,0,0,0,0
2025-01-14,CONTENT_001,5657.4,1,0,0,0,0
2025-01-15,CONTENT_001,4079.05,0,0,0,0,0
2025-01-16,CONTENT_001,4510.28,0,0,0,0,0
2025-01-17,CONTENT_001,4198.47,0,0,0,0,0
2025-01-18,CONTENT_001,5189.01,0,0,0,0,0
2025-01-19,CONTENT_001,4796.88,0,0,0,0,0
2025-01-20,CONTENT_001,4044.13,0,0,0,0,0
2025-01-21,CONTENT_001,4219.12,0,0,0,0,0
2025-01-22,CONTENT_001,4301.34,0,0,0,0,0
2025-01-23,CONTENT_001,4162.42,0,0,0,0,0
2025-01-24,CONTENT_001,4261.42,0,0,0,0,0
2025-01-25,CONTENT_001,5079.58,0,0,0,0,0
2025-01-26,CONTENT_001,5252.41,0,0,0,1,0
2025-01-27,CONTENT_001,4128.4,0,0,0,0,0
2025-01-28,CONTENT_001,4091.08,0,0,0,0,0
2025-01-29,CONTENT_001,4101.27,0,0,0,0,0
2025-01-30,CONTENT_001,4285.44,0,0,0,0,0
2025-01-31,CONTENT_001,4093.99,0,0,0,0,0
2025-02-01,CONTENT_001,5427.01,0,1,0,0,0
2025-02-02,CONTENT_001,5798.41,0,1,0,0,0
2025-02-03,CONTENT_001,4732.47,0,1,0,0,0
2025-02-04,CONTENT_001,5060.23,0,1,0,0,0
2025-02-05,CONTENT_001,5125.2,0,1,0,0,0
2025-02-06,CONTENT_001,4499.29,0,1,0,0,0
2025-02-07,CONTENT_001,4793.41,0,1,0,0,0
2025-02-08,CONTENT_001,5030.21,0,0,0,0,0
2025-02-09,CONTENT_001,4660.14,0,0,0,0,0
2025-02-10,CONTENT_001,3944.36,0,0,0,0,1
2025-02-11,CONTENT_001,4000.36,0,0,0,0,1
2025-02-12,CONTENT_001,3745.98,0,0,0,0,1
2025-02-13,CONTENT_001,4037.48,0,0,0,0,0
2025-02-14,CONTENT_001,3714.78,0,0,0,0,0
2025-02-15,CONTENT_001,5126.95,0,0,0,0,0
2025-02-16,CONTENT_001,5376.53,0,0,0,0,0
2025-02-17,CONTENT_001,4577.09,0,0,0,0,0
2025-02-18,CONTENT_001,4159.06,0,0,0,0,0
2025-02-19,CONTENT_001,3970.54,0,0,0,0,0
2025-02-20,CONTENT_001,4375.9,0,0,0,0,0
2025-02-21,CONTENT_001,4173.36,0,0,0,0,0
2025-02-22,CONTENT_001,5056.41,0,0,0,0,0
2025-02-23,CONTENT_001,5019.58,0,0,0,0,0
2025-02-24,CONTENT_001,4219.53,0,0,0,0,0
2025-02-25,CONTENT_001,4415.99,0,0,0,0,0
2025-02-26,CONTENT_001,4423.79,0,0,0,0,0
2025-02-27,CONTENT_001,4090.24,0,0,0,0,0
2025-02-28,CONTENT_001,4006.15,0,0,0,0,0
2025-03-01,CONTENT_001,5323.27,0,1,0,0,0
2025-03-02,CONTENT_001,5775.39,0,1,0,0,0
2025-03-03,CONTENT_001,4726.4,0,1,0,0,0
2025-03-04,CONTENT_001,5044.03,0,1,0,0,0
2025-03-05,CONTENT_001,4885.47,0,1,0,0,0
2025-03-06,CONTENT_001,4908.24,0,1,0,0,0
2025-03-07,CONTENT_001,5126.51,0,1,0,0,0
2025-03-08,CONTENT_001,5039.42,0,0,0,0,0
2025-03-09,CONTENT_001,4931.5,0,0,0,0,0
2025-03-10,CONTENT_001,4134.15,0,0,0,0,1
2025-03-11,CONTENT_001,3935.01,0,0,0,0,1
2025-03-12,CONTENT_001,3692.67,0,0,0,0,1
2025-03-13,CONTENT_001,4122.04,0,0,0,0,0
2025-03-14,CONTENT_001,4365.56,0,0,0,0,0
2025-03-15,CONTENT_001,4998.6,0,0,0,0,0
2025-03-16,CONTENT_001,4720.56,0,0,0,0,0
2025-03-17,CONTENT_001,4387.89,0,0,0,0,0
2025-03-18,CONTENT_001,4464.02,0,0,0,0,0
2025-03-19,CONTENT_001,4448.09,0,0,0,0,0
2025-03-20,CONTENT_001,4523.98,0,0,0,0,0
2025-03-21,CONTENT_001,4634.53,0,0,0,0,0
2025-03-22,CONTENT_001,5319.29,0,0,0,0,0
2025-03-23,CONTENT_001,5027.54,0,0,0,0,0
2025-03-24,CONTENT_001,4156.23,0,0,0,0,0
2025-03-25,CONTENT_001,3815.78,0,0,0,0,0
2025-03-26,CONTENT_001,4202.28,0,0,0,0,0
2025-03-27,CONTENT_001,4309.02,0,0,0,0,0
2025-03-28,CONTENT_001,4209.15,0,0,0,0,0
2025-03-29,CONTENT_001,4559.47,0,0,0,0,0
2025-03-30,CONTENT_001,4895.81,0,0,0,0,0
2025-03-31,CONTENT_001,4335.52,0,0,0,0,0
2025-04-01,CONTENT_001,6227.36,1,1,0,0,0
2025-04-02,CONTENT_001,4990.8,0,1,0,0,0
2025-04-03,CONTENT_001,5046.64,0,1,0,0,0
2025-04-04,CONTENT_001,5190.77,0,1,0,0,0
2025-04-05,CONTENT_001,6207.73,0,1,0,0,0
2025-04-06,CONTENT_001,5768.74,0,1,0,0,0
