date,product_name,units_sold,revenue,temperature_c,footfall_index,festival,holiday,promotion_active
2025-01-01,Vanilla,1383,60037.2,27.5,96,0,1,0
2025-01-02,Vanilla,1145,47546.85,24.2,95,0,0,0
2025-01-03,Vanilla,1248,53872.03,27.2,97,0,0,0
2025-01-04,Vanilla,1456,59275.31,27.5,123,0,0,0
2025-01-05,Vanilla,1471,61671.84,28.0,115,0,0,0
2025-01-06,Vanilla,1279,53421.54,27.3,98,0,0,0
2025-01-07,Vanilla,1231,52376.79,27.1,99,0,0,0
2025-01-08,Vanilla,1381,57160.11,28.5,103,0,0,0
2025-01-09,Vanilla,1236,54005.11,27.2,98,0,0,0
2025-01-10,Vanilla,1152,49508.22,27.9,98,0,0,0
2025-01-11,Vanilla,1423,60261.55,29.3,122,0,0,0
2025-01-12,Vanilla,1506,63757.1,28.5,120,0,0,0
2025-01-13,Vanilla,1275,54757.34,29.5,102,0,0,0
2025-01-14,Vanilla,1154,47362.1,26.4,100,0,0,0
2025-01-15,Vanilla,1190,51708.38,28.3,108,0,0,0
2025-01-16,Vanilla,1197,51326.56,26.3,101,0,0,0
2025-01-17,Vanilla,1255,51839.62,30.0,105,0,0,0
2025-01-18,Vanilla,1403,56541.0,30.3,120,0,0,0
2025-01-19,Vanilla,1449,62358.77,27.8,122,0,0,0
2025-01-20,Vanilla,1288,53498.34,28.6,103,0,0,0
2025-01-21,Vanilla,1241,51411.39,30.0,100,0,0,0
2025-01-22,Vanilla,1199,50380.47,27.7,105,0,0,0
2025-01-23,Vanilla,1333,55789.08,30.3,105,0,0,0
2025-01-24,Vanilla,1139,45365.61,29.1,103,0,0,0
2025-01-25,Vanilla,1455,59133.79,27.8,117,0,0,0
2025-01-26,Vanilla,1653,71254.67,29.4,127,0,1,0
2025-01-27,Vanilla,1182,49042.89,28.6,103,0,0,0
2025-01-28,Vanilla,1317,55783.65,31.4,97,0,0,0
2025-01-29,Vanilla,1254,51672.02,29.4,98,0,0,0
2025-01-30,Vanilla,1408,58630.48,30.7,104,0,0,0
2025-01-31,Vanilla,1278,56281.56,28.9,105,0,0,0
2025-02-01,Vanilla,1653,66478.46,31.8,123,0,0,0
2025-02-02,Vanilla,1456,58145.32,29.7,118,0,0,0
2025-02-03,Vanilla,1218,49300.54,31.7,103,0,0,0
2025-02-04,Vanilla,1464,67886.84,31.3,108,0,0,0
2025-02-05,Vanilla,1161,49228.22,31.6,101,0,0,0
2025-02-06,Vanilla,1238,51734.55,29.8,103,0,0,0
2025-02-07,Vanilla,1339,54157.89,32.8,105,0,0,0
2025-02-08,Vanilla,1468,65548.98,28.7,121,0,0,0
2025-02-09,Vanilla,1529,61500.33,31.5,127,0,0,0
2025-02-10,Vanilla,1430,58298.13,30.0,102,0,0,0
2025-02-11,Vanilla,1405,59821.28,32.8,102,0,0,0
2025-02-12,Vanilla,1278,54531.12,31.4,105,0,0,0
2025-02-13,Vanilla,1213,51260.02,31.0,100,0,0,0
2025-02-14,Vanilla,1379,58509.23,34.2,106,0,0,0
2025-02-15,Vanilla,1588,69331.18,33.9,124,0,0,0
2025-02-16,Vanilla,1619,65024.38,32.6,130,0,0,0
2025-02-17,Vanilla,1439,60050.51,30.0,112,0,0,0
2025-02-18,Vanilla,1276,51879.49,31.6,112,0,0,0
2025-02-19,Vanilla,1363,56911.84,33.2,104,0,0,0
2025-02-20,Vanilla,1387,59593.71,32.8,112,0,0,0
2025-02-21,Vanilla,1228,49330.95,29.3,106,0,0,0
2025-02-22,Vanilla,1611,64456.77,31.1,123,0,0,0
2025-02-23,Vanilla,1560,67866.45,32.6,122,0,0,0
2025-02-24,Vanilla,1386,56765.14,33.4,112,0,0,0
2025-02-25,Vanilla,1371,55351.96,32.3,107,0,0,0
2025-02-26,Vanilla,1545,69239.59,32.9,107,0,0,0
2025-02-27,Vanilla,1235,50775.72,31.5,105,0,0,0
2025-02-28,Vanilla,1346,55211.28,33.4,112,0,0,0
2025-03-01,Vanilla,1448,59666.06,29.7,124,0,0,0
2025-03-02,Vanilla,1452,57788.78,31.7,124,0,0,0
2025-03-03,Vanilla,1352,60509.26,36.3,102,0,0,0
2025-03-04,Vanilla,1431,60835.15,37.5,102,0,0,0
2025-03-05,Vanilla,1406,60691.4,35.8,103,0,0,0
2025-03-06,Vanilla,1383,55233.78,33.9,106,0,0,0
2025-03-07,Vanilla,1390,57222.14,32.9,106,0,0,0
2025-03-08,Vanilla,1666,70851.04,34.1,129,0,0,0
2025-03-09,Vanilla,1576,66940.19,33.5,125,0,0,0
2025-03-10,Vanilla,1524,64890.05,33.3,116,0,0,0
2025-03-11,Vanilla,1435,60835.57,32.3,103,0,0,0
2025-03-12,Vanilla,1450,61888.36,34.3,100,0,0,0
2025-03-13,Vanilla,1371,57689.9,31.9,106,0,0,0
2025-03-14,Vanilla,1369,57811.29,33.2,107,0,0,0
2025-03-15,Vanilla,1635,69102.9,35.9,115,0,0,0
2025-03-16,Vanilla,1522,64672.81,34.1,124,0,0,0
2025-03-17,Vanilla,1496,62094.79,36.3,102,0,0,0
2025-03-18,Vanilla,1364,59947.89,33.7,104,0,0,0
2025-03-19,Vanilla,1529,65225.05,34.7,115,0,0,0
2025-03-20,Vanilla,1527,63454.7,36.4,110,0,0,0
2025-03-21,Vanilla,1468,59061.38,33.9,105,0,0,0
2025-03-22,Vanilla,1755,75686.66,35.0,125,0,0,0
2025-03-23,Vanilla,1622,67961.1,36.6,129,0,0,0
2025-03-24,Vanilla,1470,63145.76,32.2,106,0,0,0
2025-03-25,Vanilla,1378,55361.37,32.9,104,0,0,0
2025-03-26,Vanilla,1475,63296.88,32.9,109,0,0,0
2025-03-27,Vanilla,1348,57452.89,30.5,109,0,0,0
2025-03-28,Vanilla,1398,59955.13,36.4,100,0,0,0
2025-03-29,Vanilla,1642,71049.14,31.6,132,0,0,0
2025-03-30,Vanilla,1721,72883.17,33.1,129,0,0,0
2025-03-31,Vanilla,1369,57195.05,34.3,109,0,0,0
2025-04-01,Vanilla,1487,60092.94,33.8,110,0,0,0
2025-04-02,Vanilla,1384,56421.01,33.8,114,0,0,0
2025-04-03,Vanilla,1439,63306.56,34.3,111,0,0,0
2025-04-04,Vanilla,1498,68146.24,35.3,111,0,0,0
2025-04-05,Vanilla,1733,71596.21,33.7,118,0,0,0
2025-04-06,Vanilla,1576,63233.11,34.1,131,0,0,0
2025-04-07,Vanilla,1388,59387.36,31.6,105,0,0,0
2025-04-08,Vanilla,1252,52686.08,34.4,102,0,0,0
2025-04-09,Vanilla,1461,61664.96,33.2,110,0,0,0
2025-04-10,Vanilla,1487,60882.23,35.1,109,0,0,0
2025-04-11,Vanilla,1476,61120.26,33.7,109,0,0,0
2025-04-12,Vanilla,1671,72261.19,34.7,125,0,0,0
2025-04-13,Vanilla,1465,56401.88,30.9,121,0,0,0
2025-04-14,Vanilla,1391,58834.69,32.8,111,0,0,0
2025-04-15,Vanilla,1473,64856.75,35.5,113,0,0,0
2025-04-16,Vanilla,1373,54616.84,33.9,104,0,0,0
2025-04-17,Vanilla,1443,64330.61,32.4,106,0,0,0
2025-04-18,Vanilla,1310,55952.78,31.7,109,0,0,0
2025-04-19,Vanilla,1693,69569.6,33.5,118,0,0,0
2025-04-20,Vanilla,1580,67374.1,32.9,121,0,0,0
2025-04-21,Vanilla,1444,63508.55,33.4,109,0,0,0
2025-04-22,Vanilla,1462,60677.05,33.1,102,0,0,0
2025-04-23,Vanilla,1454,61828.68,35.2,109,0,0,0
2025-04-24,Vanilla,1520,64205.23,36.4,116,0,0,0
2025-04-25,Vanilla,1466,61515.13,35.1,104,0,0,0
2025-04-26,Vanilla,1548,60202.53,33.9,122,0,0,0
2025-04-27,Vanilla,1587,71265.58,31.7,123,0,0,0
2025-04-28,Vanilla,1464,60594.06,35.0,103,0,0,0
2025-04-29,Vanilla,1452,60245.1,32.8,108,0,0,0
2025-04-30,Vanilla,1435,65861.49,34.8,103,0,0,0
2025-05-01,Vanilla,1708,73223.95,33.5,113,0,0,1
