date,sales,units_sold,average_price,promotion,promotion_intensity,holiday
2025-09-01,1163712.0,298.0,3900.0,0,0.0,0.0
2025-09-02,1105425.0,282.0,3925.0,0,0.0,0.0
2025-09-03,1188220.0,301.0,3949.0,0,0.0,0.0
2025-09-04,1199002.0,302.0,3971.0,0,0.0,0.0
2025-09-05,1071108.0,269.0,3989.0,0,0.0,0.0
2025-09-06,1218649.0,304.0,4004.0,0,0.0,0.0
2025-09-07,1285451.0,320.0,4014.0,0,0.0,0.0
2025-09-08,1151361.0,286.0,4019.0,0,0.0,0.0
2025-09-09,1167064.0,290.0,4019.0,0,0.0,0.0
2025-09-10,1131662.0,282.0,4014.0,0,0.0,0.0
2025-09-11,1211849.0,303.0,4004.0,0,0.0,0.0
2025-09-12,1209502.0,303.0,3989.0,0,0.0,0.0
2025-09-13,1297369.0,327.0,3971.0,0,0.0,0.0
2025-09-14,1347567.0,341.0,3949.0,0,0.0,0.0
2025-09-15,1202204.0,306.0,3925.0,0,0.0,0.0
2025-09-16,1144714.0,294.0,3900.0,0,0.0,0.0
2025-09-17,1202189.0,310.0,3875.0,0,0.0,0.0
2025-09-18,1144655.0,297.0,3851.0,0,0.0,0.0
2025-09-19,1229541.0,321.0,3829.0,0,0.0,0.0
2025-09-20,1309186.0,344.0,3811.0,0,0.0,0.0
2025-09-21,1305530.0,344.0,3796.0,0,0.0,0.0
2025-09-22,1165958.0,308.0,3786.0,0,0.0,0.0
2025-09-23,1253800.0,332.0,3781.0,0,0.0,0.0
2025-09-24,1194013.0,316.0,3781.0,0,0.0,0.0
2025-09-25,1183866.0,313.0,3786.0,0,0.0,0.0
2025-09-26,1189463.0,313.0,3796.0,0,0.0,0.0
2025-09-27,1352171.0,355.0,3811.0,0,0.0,0.0
2025-09-28,1347032.0,352.0,3829.0,0,0.0,0.0
2025-09-29,1230344.0,319.0,3851.0,0,0.0,0.0
2025-09-30,1233297.0,318.0,3875.0,0,0.0,0.0
2025-10-01,1312415.0,337.0,3900.0,0,0.0,0.0
2025-10-02,1199874.0,306.0,3925.0,0,0.0,0.0
2025-10-03,1197225.0,303.0,3949.0,0,0.0,0.0
2025-10-04,1307998.0,329.0,3971.0,0,0.0,0.0
2025-10-05,1374641.0,345.0,3989.0,0,0.0,0.0
2025-10-06,1277363.0,319.0,4004.0,0,0.0,0.0
2025-10-07,1223506.0,305.0,4014.0,0,0.0,0.0
2025-10-08,1192891.0,297.0,4019.0,0,0.0,0.0
2025-10-09,1195649.0,297.0,4019.0,0,0.0,0.0
2025-10-10,1486332.0,370.0,4014.0,1,0.18,0.0
2025-10-11,1638843.0,409.0,4004.0,1,0.18,0.0
2025-10-12,1632459.0,409.0,3989.0,1,0.18,0.0
2025-10-13,1434253.0,361.0,3971.0,1,0.18,0.0
2025-10-14,1477001.0,374.0,3949.0,1,0.18,0.0
2025-10-15,1474143.0,376.0,3925.0,1,0.18,0.0
2025-10-16,1481056.0,380.0,3900.0,1,0.18,0.0
2025-10-17,1287962.0,332.0,3875.0,0,0.0,0.0
2025-10-18,1385819.0,360.0,3851.0,0,0.0,0.0
2025-10-19,1408429.0,368.0,3829.0,0,0.0,0.0
2025-10-20,1408114.0,370.0,3811.0,0,0.0,1.0
2025-10-21,1269438.0,334.0,3796.0,0,0.0,0.0
2025-10-22,1286719.0,340.0,3786.0,0,0.0,0.0
2025-10-23,1194608.0,316.0,3781.0,0,0.0,0.0
2025-10-24,1247648.0,330.0,3781.0,0,0.0,0.0
2025-10-25,1369092.0,362.0,3786.0,0,0.0,0.0
2025-10-26,1363513.0,359.0,3796.0,0,0.0,0.0
2025-10-27,1255117.0,329.0,3811.0,0,0.0,0.0
2025-10-28,1336560.0,349.0,3829.0,0,0.0,0.0
2025-10-29,1232098.0,320.0,3851.0,0,0.0,0.0
2025-10-30,1316389.0,340.0,3875.0,0,0.0,0.0
2025-10-31,1198825.0,307.0,3900.0,0,0.0,0.0
2025-11-01,1557302.0,397.0,3925.0,0,0.0,1.0
2025-11-02,1413101.0,358.0,3949.0,0,0.0,0.0
2025-11-03,1306044.0,329.0,3971.0,0,0.0,0.0
2025-11-04,1313337.0,329.0,3989.0,0,0.0,0.0
2025-11-05,1318682.0,329.0,4004.0,0,0.0,0.0
2025-11-06,1268919.0,316.0,4014.0,0,0.0,0.0
2025-11-07,1265417.0,315.0,4019.0,0,0.0,0.0
2025-11-08,1455207.0,362.0,4019.0,0,0.0,0.0
2025-11-09,1409720.0,351.0,4014.0,0,0.0,0.0
2025-11-10,1233538.0,308.0,4004.0,0,0.0,0.0
2025-11-11,1241481.0,311.0,3989.0,0,0.0,0.0
2025-11-12,1252619.0,315.0,3971.0,0,0.0,0.0
2025-11-13,1317862.0,334.0,3949.0,0,0.0,0.0
2025-11-14,1303374.0,332.0,3925.0,0,0.0,0.0
2025-11-15,1459333.0,374.0,3900.0,0,0.0,0.0
2025-11-16,1410613.0,364.0,3875.0,0,0.0,0.0
2025-11-17,1308402.0,340.0,3851.0,0,0.0,0.0
2025-11-18,1330813.0,348.0,3829.0,0,0.0,0.0
2025-11-19,1290113.0,339.0,3811.0,0,0.0,0.0
2025-11-20,1652286.0,435.0,3796.0,1,0.25,0.0
2025-11-21,1603608.0,424.0,3786.0,1,0.25,0.0
2025-11-22,1782197.0,471.0,3781.0,1,0.25,0.0
2025-11-23,1783127.0,472.0,3781.0,1,0.25,0.0
2025-11-24,1584411.0,419.0,3786.0,1,0.25,0.0
2025-11-25,1661694.0,438.0,3796.0,1,0.25,0.0
2025-11-26,1620186.0,425.0,3811.0,1,0.25,0.0
2025-11-27,1643373.0,429.0,3829.0,1,0.25,0.0
