vehicle_model,component_id,quantity_per_vehicle
Apex Compact,Engine,1
Apex Compact,Transmission,1
Apex Compact,Brake_Pads,4
Apex Compact,Wheels,4
Apex Compact,Tyres,4
Apex Compact,Seats,5
Apex Compact,Nuts,100
Apex Compact,ECU,1
Apex Compact,Radiator,1
Apex Sedan,Engine,1
Apex Sedan,Transmission,1
Apex Sedan,Brake_Pads,4
Apex Sedan,Wheels,4
Apex Sedan,Tyres,4
Apex Sedan,Seats,5
Apex Sedan,Nuts,110
Apex Sedan,ECU,1
Apex Sedan,Radiator,1
Apex SUV,Engine,1
Apex SUV,Transmission,1
Apex SUV,Brake_Pads,4
Apex SUV,Wheels,4
Apex SUV,Tyres,4
Apex SUV,Seats,7
Apex SUV,Nuts,135
Apex SUV,ECU,1
Apex SUV,Radiator,1
Apex EV,Battery,1
Apex EV,Transmission,1
Apex EV,Brake_Pads,4
Apex EV,Wheels,4
Apex EV,Tyres,4
Apex EV,Seats,5
Apex EV,Nuts,115
Apex EV,ECU,1
Apex EV,Radiator,1
