date,content_id,content_category,viewers,watch_hours,sessions,release_event,release_active,marketing_campaign,festival,festival_intensity,holiday,weekend,day_of_week,month,competitor_major_release,subscription_price_index
2025-01-01,SPORTS,Live Sports,12182,19493.7,14211,None,0,0,None,0.0,0,0,2,1,0,100.03
2025-01-02,SPORTS,Live Sports,11199,16007.0,14198,None,0,0,None,0.0,0,0,3,1,0,100.07
2025-01-03,SPORTS,Live Sports,11781,11103.3,14050,None,0,0,None,0.0,0,0,4,1,0,100.1
2025-01-04,SPORTS,Live Sports,12650,16860.8,14095,None,0,0,None,0.0,0,1,5,1,0,100.14
2025-01-05,SPORTS,Live Sports,14171,18397.0,16943,None,0,0,None,0.0,0,1,6,1,0,100.17
2025-01-06,SPORTS,Live Sports,10599,15363.9,14065,None,0,0,None,0.0,0,0,0,1,0,100.21
2025-01-07,SPORTS,Live Sports,14114,21231.1,17281,None,0,0,None,0.0,0,0,1,1,0,100.24
2025-01-08,SPORTS,Live Sports,13277,17958.3,16982,None,0,0,None,0.0,0,0,2,1,0,100.27
2025-01-09,SPORTS,Live Sports,16263,26032.5,23236,None,0,1,None,0.0,0,0,3,1,0,100.31
2025-01-10,SPORTS,Live Sports,12527,17708.4,16902,None,0,0,None,0.0,0,0,4,1,0,100.34
2025-01-11,SPORTS,Live Sports,15131,17709.5,20752,None,0,0,None,0.0,0,1,5,1,0,100.38
2025-01-12,SPORTS,Live Sports,14575,17505.5,16982,None,0,0,None,0.0,0,1,6,1,0,100.41
2025-01-13,SPORTS,Live Sports,13344,21174.6,16740,None,0,1,None,0.0,0,0,0,1,0,100.44
2025-01-14,SPORTS,Live Sports,17361,19233.5,20622,Live Sports Final,1,0,Makar Sankranti,1.0,1,0,1,1,0,100.48
2025-01-15,SPORTS,Live Sports,12384,12557.8,15403,None,0,0,None,0.0,0,0,2,1,0,100.51
2025-01-16,SPORTS,Live Sports,12997,19519.6,14228,None,0,0,None,0.0,0,0,3,1,0,100.54
2025-01-17,SPORTS,Live Sports,12026,14936.2,15121,None,0,0,None,0.0,0,0,4,1,0,100.58
2025-01-18,SPORTS,Live Sports,14304,15467.4,18027,None,0,0,None,0.0,0,1,5,1,0,100.61
2025-01-19,SPORTS,Live Sports,22912,35826.9,29327,Season Premiere,1,1,None,0.0,0,1,6,1,0,100.64
2025-01-20,SPORTS,Live Sports,16747,17550.4,19155,Season Premiere,1,0,None,0.0,0,0,0,1,0,100.67
2025-01-21,SPORTS,Live Sports,12971,19274.2,14768,None,0,1,None,0.0,0,0,1,1,0,100.71
2025-01-22,SPORTS,Live Sports,12413,14549.9,14859,None,0,0,None,0.0,0,0,2,1,0,100.74
2025-01-23,SPORTS,Live Sports,11630,17094.8,14712,None,0,0,None,0.0,0,0,3,1,0,100.77
2025-01-24,SPORTS,Live Sports,16025,24330.9,18984,Season Premiere,1,0,None,0.0,0,0,4,1,1,100.8
2025-01-25,SPORTS,Live Sports,13356,13700.8,17796,None,0,0,None,0.0,0,1,5,1,0,100.83
2025-01-26,SPORTS,Live Sports,14484,22592.9,18598,None,0,0,Republic Day,0.8,1,1,6,1,0,100.86
2025-01-27,SPORTS,Live Sports,17674,24651.0,19355,Live Sports Final,1,0,None,0.0,0,0,0,1,0,100.9
2025-01-28,SPORTS,Live Sports,16961,26921.5,19328,Blockbuster Release,1,0,None,0.0,0,0,1,1,0,100.93
2025-01-29,SPORTS,Live Sports,12953,11983.5,16733,None,0,0,None,0.0,0,0,2,1,0,100.96
2025-01-30,SPORTS,Live Sports,13309,20036.3,16806,None,0,0,None,0.0,0,0,3,1,0,100.99
2025-01-31,SPORTS,Live Sports,11818,19957.5,14012,None,0,0,None,0.0,0,0,4,1,0,101.02
2025-02-01,SPORTS,Live Sports,14688,21478.4,16432,None,0,0,None,0.0,0,1,5,2,0,101.05
2025-02-02,SPORTS,Live Sports,19139,31277.7,27142,Blockbuster Release,1,0,None,0.0,0,1,6,2,0,101.08
2025-02-03,SPORTS,Live Sports,16040,19758.1,19725,Blockbuster Release,1,0,None,0.0,0,0,0,2,0,101.1
2025-02-04,SPORTS,Live Sports,11274,16474.5,12796,None,0,0,None,0.0,0,0,1,2,0,101.13
2025-02-05,SPORTS,Live Sports,11343,15355.8,15180,None,0,0,None,0.0,0,0,2,2,0,101.16
2025-02-06,SPORTS,Live Sports,11703,13671.1,13486,None,0,0,None,0.0,0,0,3,2,0,101.19
2025-02-07,SPORTS,Live Sports,13738,19213.5,15884,None,0,0,None,0.0,0,0,4,2,0,101.22
2025-02-08,SPORTS,Live Sports,13446,15982.9,18566,None,0,0,None,0.0,0,1,5,2,0,101.24
2025-02-09,SPORTS,Live Sports,13572,22522.6,19179,None,0,0,None,0.0,0,1,6,2,0,101.27
2025-02-10,SPORTS,Live Sports,12208,18777.3,15104,None,0,0,None,0.0,0,0,0,2,0,101.3
2025-02-11,SPORTS,Live Sports,10972,17519.0,14295,None,0,0,None,0.0,0,0,1,2,0,101.32
2025-02-12,SPORTS,Live Sports,12206,17193.0,14578,None,0,0,None,0.0,0,0,2,2,0,101.35
2025-02-13,SPORTS,Live Sports,12637,19870.0,16471,None,0,0,None,0.0,0,0,3,2,0,101.37
2025-02-14,SPORTS,Live Sports,13332,15911.3,17880,None,0,0,None,0.0,0,0,4,2,0,101.4
2025-02-15,SPORTS,Live Sports,15006,21445.7,20084,None,0,0,None,0.0,0,1,5,2,0,101.42
2025-02-16,SPORTS,Live Sports,16712,19503.3,17819,None,0,1,None,0.0,0,1,6,2,0,101.45
2025-02-17,SPORTS,Live Sports,11905,16376.2,12969,None,0,0,None,0.0,0,0,0,2,0,101.47
2025-02-18,SPORTS,Live Sports,11956,11443.6,15939,None,0,0,None,0.0,0,0,1,2,0,101.49
2025-02-19,SPORTS,Live Sports,12439,19076.9,15707,None,0,0,None,0.0,0,0,2,2,0,101.52
2025-02-20,SPORTS,Live Sports,12060,14922.7,17213,None,0,0,None,0.0,0,0,3,2,0,101.54
2025-02-21,SPORTS,Live Sports,12025,20288.2,13124,None,0,0,None,0.0,0,0,4,2,0,101.56
2025-02-22,SPORTS,Live Sports,13133,20836.7,18988,None,0,0,None,0.0,0,1,5,2,0,101.58
2025-02-23,SPORTS,Live Sports,14484,20154.2,15981,None,0,0,None,0.0,0,1,6,2,0,101.6
2025-02-24,SPORTS,Live Sports,12357,13749.5,13130,None,0,0,None,0.0,0,0,0,2,0,101.62
2025-02-25,SPORTS,Live Sports,11473,16107.1,16172,None,0,0,None,0.0,0,0,1,2,0,101.64
2025-02-26,SPORTS,Live Sports,13361,20113.2,16722,None,0,0,None,0.0,0,0,2,2,0,101.66
2025-02-27,SPORTS,Live Sports,12288,15701.3,14311,None,0,0,None,0.0,0,0,3,2,0,101.68
2025-02-28,SPORTS,Live Sports,10918,15001.2,13961,None,0,0,None,0.0,0,0,4,2,0,101.7
2025-03-01,SPORTS,Live Sports,20580,32949.3,24716,Live Sports Final,1,0,None,0.0,0,1,5,3,0,101.72
2025-03-02,SPORTS,Live Sports,13371,13501.5,19327,None,0,0,None,0.0,0,1,6,3,0,101.73
2025-03-03,SPORTS,Live Sports,11776,15303.9,16010,None,0,0,None,0.0,0,0,0,3,0,101.75
2025-03-04,SPORTS,Live Sports,14147,22531.6,18566,None,0,1,None,0.0,0,0,1,3,0,101.77
2025-03-05,SPORTS,Live Sports,12850,15586.1,15148,None,0,0,None,0.0,0,0,2,3,0,101.78
2025-03-06,SPORTS,Live Sports,12078,19412.6,12806,None,0,0,None,0.0,0,0,3,3,0,101.8
2025-03-07,SPORTS,Live Sports,12648,17031.3,17314,None,0,0,None,0.0,0,0,4,3,0,101.81
2025-03-08,SPORTS,Live Sports,12628,15419.8,13500,None,0,0,None,0.0,0,1,5,3,0,101.83
2025-03-09,SPORTS,Live Sports,13025,22054.6,14265,None,0,0,None,0.0,0,1,6,3,0,101.84
2025-03-10,SPORTS,Live Sports,12161,12519.8,15634,None,0,0,None,0.0,0,0,0,3,0,101.85
2025-03-11,SPORTS,Live Sports,13712,16150.4,18549,None,0,1,None,0.0,0,0,1,3,0,101.87
2025-03-12,SPORTS,Live Sports,12306,13239.2,14934,None,0,0,Holi,0.8,1,0,2,3,0,101.88
2025-03-13,SPORTS,Live Sports,18499,31197.5,23782,Season Premiere,1,0,Holi,1.05,1,0,3,3,0,101.89
2025-03-14,SPORTS,Live Sports,17352,17702.3,24977,Season Premiere,1,0,Holi,1.3,1,0,4,3,0,101.9
2025-03-15,SPORTS,Live Sports,13861,13798.3,16113,None,0,0,Holi,1.05,1,1,5,3,0,101.91
2025-03-16,SPORTS,Live Sports,17036,18929.2,18187,None,0,1,Holi,0.8,1,1,6,3,0,101.92
2025-03-17,SPORTS,Live Sports,15464,21446.6,17609,New Episode,1,0,None,0.0,0,0,0,3,0,101.93
2025-03-18,SPORTS,Live Sports,18100,20124.0,22237,New Episode,1,0,None,0.0,0,0,1,3,0,101.94
2025-03-19,SPORTS,Live Sports,12261,14243.4,16686,None,0,0,None,0.0,0,0,2,3,0,101.95
2025-03-20,SPORTS,Live Sports,12232,16235.3,14894,None,0,0,None,0.0,0,0,3,3,0,101.96
2025-03-21,SPORTS,Live Sports,11703,16488.1,15044,None,0,0,None,0.0,0,0,4,3,0,101.96
2025-03-22,SPORTS,Live Sports,14561,19858.9,18584,None,0,0,None,0.0,0,1,5,3,0,101.97
2025-03-23,SPORTS,Live Sports,13848,19276.1,17242,None,0,0,None,0.0,0,1,6,3,0,101.97
2025-03-24,SPORTS,Live Sports,18300,26292.1,20379,Blockbuster Release,1,0,None,0.0,0,0,0,3,0,101.98
2025-03-25,SPORTS,Live Sports,10727,17182.6,11555,None,0,0,None,0.0,0,0,1,3,0,101.98
2025-03-26,SPORTS,Live Sports,12219,17596.2,13822,None,0,0,None,0.0,0,0,2,3,0,101.99
2025-03-27,SPORTS,Live Sports,12204,18022.3,14133,None,0,0,None,0.0,0,0,3,3,0,101.99
2025-03-28,SPORTS,Live Sports,14622,17798.1,16450,None,0,1,None,0.0,0,0,4,3,0,101.99
2025-03-29,SPORTS,Live Sports,15177,25128.9,17104,None,0,0,None,0.0,0,1,5,3,0,102.0
2025-03-30,SPORTS,Live Sports,12854,19880.0,16624,None,0,0,None,0.0,0,1,6,3,0,102.0
2025-03-31,SPORTS,Live Sports,11004,15033.8,13554,None,0,0,None,0.0,0,0,0,3,0,102.0
