date,product_id,product_name,category,units_sold,revenue,average_price,promotion_active,promotion_type,discount_pct,marketing_spend,temperature_c,rainfall_mm,footfall_index,festival,festival_intensity,holiday,competitor_promo,stock_available,stockout_flag,day_of_week,weekend,month,season
2025-01-01,IC-VAN,Vanilla Ice Cream,Ice Cream,113,113.89,1.0,0,None,0.0,0.0,24.2,0.1,91.0,None,0.0,0,0,228,0,2,0,1,Winter
2025-01-02,IC-VAN,Vanilla Ice Cream,Ice Cream,89,88.43,1.0,0,None,0.0,0.0,21.8,1.9,93.8,None,0.0,0,0,173,0,3,0,1,Winter
2025-01-03,IC-VAN,Vanilla Ice Cream,Ice Cream,125,126.16,1.0,0,None,0.0,0.0,25.0,0.0,90.4,None,0.0,0,0,273,0,4,0,1,Winter
2025-01-04,IC-VAN,Vanilla Ice Cream,Ice Cream,134,137.63,1.0,0,None,0.0,0.0,25.4,4.5,100.1,None,0.0,0,0,246,0,5,1,1,Winter
2025-01-05,IC-VAN,Vanilla Ice Cream,Ice Cream,129,126.69,1.0,0,None,0.0,0.0,20.2,0.5,108.7,None,0.0,0,0,178,0,6,1,1,Winter
2025-01-06,IC-VAN,Vanilla Ice Cream,Ice Cream,97,96.22,1.0,0,None,0.0,0.0,21.4,0.8,91.2,None,0.0,0,0,142,0,0,0,1,Winter
2025-01-07,IC-VAN,Vanilla Ice Cream,Ice Cream,92,91.96,1.0,0,None,0.0,0.0,24.0,0.0,98.5,None,0.0,0,0,266,0,1,0,1,Winter
2025-01-08,IC-VAN,Vanilla Ice Cream,Ice Cream,99,98.77,1.0,0,None,0.0,0.0,23.2,3.2,90.5,None,0.0,0,1,190,0,2,0,1,Winter
2025-01-09,IC-VAN,Vanilla Ice Cream,Ice Cream,115,114.89,1.0,0,None,0.0,0.0,23.8,0.3,98.7,None,0.0,0,0,244,0,3,0,1,Winter
2025-01-10,IC-VAN,Vanilla Ice Cream,Ice Cream,95,93.83,1.0,0,None,0.0,0.0,22.3,0.2,94.9,None,0.0,0,0,172,0,4,0,1,Winter
2025-01-11,IC-VAN,Vanilla Ice Cream,Ice Cream,159,162.29,1.0,0,None,0.0,0.0,25.5,0.3,114.5,None,0.0,0,0,193,0,5,1,1,Winter
2025-01-12,IC-VAN,Vanilla Ice Cream,Ice Cream,143,141.13,1.0,0,None,0.0,0.0,25.3,0.4,109.2,None,0.0,0,0,228,0,6,1,1,Winter
2025-01-13,IC-VAN,Vanilla Ice Cream,Ice Cream,105,105.21,1.0,0,None,0.0,0.0,24.1,0.2,103.9,None,0.0,0,0,235,0,0,0,1,Winter
2025-01-14,IC-VAN,Vanilla Ice Cream,Ice Cream,148,150.57,1.0,0,None,0.0,0.0,26.0,0.1,107.0,Makar Sankranti,1.0,1,0,221,0,1,0,1,Winter
2025-01-15,IC-VAN,Vanilla Ice Cream,Ice Cream,120,120.57,1.01,0,None,0.0,0.0,24.9,0.0,98.2,None,0.0,0,0,236,0,2,0,1,Winter
2025-01-16,IC-VAN,Vanilla Ice Cream,Ice Cream,94,93.4,1.01,0,None,0.0,0.0,22.5,0.3,93.2,None,0.0,0,0,184,0,3,0,1,Winter
2025-01-17,IC-VAN,Vanilla Ice Cream,Ice Cream,128,126.65,1.01,0,None,0.0,0.0,24.8,0.0,96.2,None,0.0,0,0,202,0,4,0,1,Winter
2025-01-18,IC-VAN,Vanilla Ice Cream,Ice Cream,133,120.1,1.01,1,Weekend Flash,10.0,1444.36,22.5,0.1,107.0,None,0.0,0,0,193,0,5,1,1,Winter
2025-01-19,IC-VAN,Vanilla Ice Cream,Ice Cream,155,154.58,1.01,0,None,0.0,0.0,25.8,0.4,104.9,None,0.0,0,0,216,0,6,1,1,Winter
2025-01-20,IC-VAN,Vanilla Ice Cream,Ice Cream,112,113.03,1.01,0,None,0.0,0.0,24.2,0.4,92.6,None,0.0,0,0,172,0,0,0,1,Winter
2025-01-21,IC-VAN,Vanilla Ice Cream,Ice Cream,98,97.03,1.01,0,None,0.0,0.0,24.0,1.3,91.7,None,0.0,0,0,233,0,1,0,1,Winter
2025-01-22,IC-VAN,Vanilla Ice Cream,Ice Cream,90,91.55,1.01,0,None,0.0,0.0,23.2,0.2,87.2,None,0.0,0,0,163,0,2,0,1,Winter
2025-01-23,IC-VAN,Vanilla Ice Cream,Ice Cream,134,135.22,1.01,0,None,0.0,0.0,26.6,1.6,93.8,None,0.0,0,1,272,0,3,0,1,Winter
2025-01-24,IC-VAN,Vanilla Ice Cream,Ice Cream,130,131.34,1.01,0,None,0.0,0.0,24.2,0.4,102.3,None,0.0,0,0,199,0,4,0,1,Winter
2025-01-25,IC-VAN,Vanilla Ice Cream,Ice Cream,133,136.43,1.01,0,None,0.0,0.0,23.8,0.0,101.3,None,0.0,0,0,205,0,5,1,1,Winter
2025-01-26,IC-VAN,Vanilla Ice Cream,Ice Cream,134,134.45,1.01,0,None,0.0,0.0,24.0,0.8,113.0,Republic Day,0.8,1,0,301,0,6,1,1,Winter
2025-01-27,IC-VAN,Vanilla Ice Cream,Ice Cream,109,109.02,1.01,0,None,0.0,0.0,25.6,0.8,108.5,None,0.0,0,0,269,0,0,0,1,Winter
